,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
UKK43,Devon CC,11825,12430,12652,13146,14040,14842,15913,16453,17334,17452,18001,17729,18124,18028,18234,19095,19526,20232,20997,21099
UKL11,Isle of Anglesey,8175,8160,8928,9536,9745,10418,11393,11592,11988,12455,12570,12327,12035,12512,13122,12918,13463,13558,13972,14309
UKL12,Gwynedd,11106,10956,11295,11864,13410,14443,14598,15580,16760,17001,17192,16217,15773,16980,17959,18607,18739,18810,19012,19971
UKL13,Conwy and Denbighshire,9904,9949,10523,10520,11252,12044,13032,13265,13605,13926,14141,13571,13754,14147,14930,15315,15498,16096,16650,16876
UKL14,South West Wales,9635,9796,9831,10255,10379,11357,12200,13102,13748,14222,13537,13644,14131,14475,15071,15331,15589,16251,16657,17005
UKL15,Central Valleys,9536,9559,10107,10257,11445,11771,12166,12259,13062,13279,13467,13318,14167,14495,14719,15583,15703,15992,16496,16840
UKL16,Gwent Valleys,9023,9179,9434,9449,9658,9807,10594,11089,11957,11875,12005,11536,11823,12552,13057,13327,13673,14019,14315,14831
UKL17,Bridgend and Neath Port Talbot,11011,10767,11154,10862,11398,11501,12153,13192,13929,14566,15113,14232,14862,15473,15533,16015,16804,17776,17563,18284
UKL18,Swansea,10997,11031,11960,12479,13062,13865,14682,15311,16041,15984,16053,16309,16311,16910,17175,17869,19017,18606,19389,19319
UKL21,Monmouthshire and Newport,13739,14157,14569,15257,15404,17085,17999,18994,20055,19640,19643,19473,19432,19893,20024,20295,20686,21825,22401,23246
UKL22,Cardiff and Vale of Glamorgan,14042,14981,15996,16736,17530,18852,19316,20147,20818,22537,21816,21611,21196,22145,22910,23323,23717,24209,25969,26467
UKL23,Flintshire and Wrexham,14104,13737,14683,14473,14902,15318,16041,16658,17496,17914,17337,17475,18562,19367,20327,21721,21777,22993,24107,25459
UKL24,Powys,11275,11067,11473,12057,12918,13944,14416,14086,14395,15023,14363,13492,14496,14957,15852,16646,16678,17390,17732,17734
UKM50,Aberdeen City and Aberdeenshire,20504,19949,21686,23392,24557,24831,25812,27656,29911,32862,35997,35302,35261,36698,38033,39428,40856,39028,37539,37924
UKM61,Caithness and Sutherland and Ross and Cromarty,12309,12405,13014,13431,13720,15492,16854,17238,17323,18104,18264,17271,17596,17878,17990,18805,20041,20354,20888,20537
UKM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",13331,13824,14466,16076,16772,18235,19025,20338,20745,21409,21888,22124,22146,23376,24060,25320,25123,25468,25856,25326
UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",13095,13770,14701,14716,14341,15774,16561,17915,19066,18629,20600,20862,20125,20555,21111,22620,23722,23882,25139,25025
UKM64,Na h-Eileanan Siar,12240,13912,12310,12621,13413,15315,17265,17669,18192,17981,17739,18135,16680,17386,18159,18308,18547,19257,19134,19694
UKM65,Orkney Islands,13501,13596,13826,13701,14316,15638,17073,18482,17856,18457,19013,19868,20562,20727,20916,21679,22326,22871,23936,23752
UKM66,Shetland Islands,18452,18336,18278,19090,20853,21380,22824,23979,23037,24159,25204,26672,27873,28704,28656,31156,31698,32865,33161,33865
UKM71,Angus and Dundee City,13467,13773,14188,14581,15278,16059,16955,17604,18694,19601,19595,19172,19523,19350,20036,20647,21574,21904,23005,23690
UKM72,Clackmannanshire and Fife,11637,11880,12765,12919,13336,14155,14747,14940,16194,16934,17257,17008,16854,16675,17114,18570,19308,19965,20749,21165
UKM73,East Lothian and Midlothian,10213,10393,10627,10916,11595,12489,13332,13759,15339,15181,15194,14164,14062,14442,14919,15848,16310,16917,17563,18064
UKM75,City of Edinburgh,21528,21390,23131,25071,26906,29327,31250,33641,34665,36984,36824,38498,36445,36680,38033,39176,40120,40933,42729,44228
UKM76,Falkirk,13597,13231,13841,14263,15021,16376,17887,19404,19830,20004,19654,18686,19438,18175,19060,20023,20854,20939,21879,22208
